,GEOID,year,m_income,m_inc_group,med3_over_total,m_rent,m_rent_group,med3_rent,m_own,m_own_group,med3_own,perc_white,perc_poverty,perc_o25_ed,owner_occ,rent_occ,rent_vac,temp_vac,other_vac
1974,14000US36081112300,2012,75556.0,11,0.4873417721518987,1656.0,19,0.7915129151291513,633800.0,21,0.7786885245901639,0.3707239459029435,0.09240506329113925,0.6679709334823924,0.2772727272727273,0.6204545454545455,0.08295454545454546,0.0,0.019318181818181818
1975,14000US36081112900,2012,80985.0,11,0.4627906976744186,1503.0,19,0.6702508960573477,611100.0,21,0.5996503496503497,0.6799620132953467,0.046511627906976744,0.7278645833333334,0.5983263598326359,0.301255230125523,0.0,0.0198744769874477,0.08054393305439331
1976,14000US36081113300,2012,88906.0,11,0.3050259965337955,1594.0,19,0.6097560975609756,569200.0,21,0.7307692307692307,0.6816524908869988,0.03119584055459272,0.5568075117370892,0.6225352112676056,0.19014084507042253,0.03380281690140845,0.005633802816901409,0.14788732394366197
1977,14000US36081113900,2012,66695.0,10,0.34684065934065933,1352.0,18,0.7125567322239031,508200.0,21,0.6784260515603799,0.5521111704970604,0.10164835164835165,0.6538602268569338,0.48264571054354943,0.47085789129011135,0.0412573673870334,0.005239030779305829,0.0
1978,14000US36081114100,2012,106000.0,12,0.4300254452926209,1662.0,19,1.0,643500.0,21,0.8767908309455588,0.6096892138939671,0.01272264631043257,0.7011706715958103,0.804147465437788,0.10138248847926268,0.0,0.0,0.0944700460829493
1979,14000US36081114700,2012,114167.0,12,0.30401234567901236,1550.0,19,0.5168539325842697,668000.0,21,0.8998211091234347,0.5721623009758603,0.040123456790123455,0.6828309305373526,0.8306092124814265,0.13224368499257058,0.0,0.0,0.03714710252600297
1980,14000US36081115100,2012,89231.0,11,0.4563953488372093,1205.0,17,0.6111111111111112,742600.0,21,0.852760736196319,0.7015706806282722,0.011627906976744186,0.7483085250338295,0.8380462724935732,0.04627249357326478,0.0,0.0,0.11568123393316196
1981,14000US36081115500,2012,76932.0,11,0.4673913043478261,1361.0,18,0.8686567164179104,614700.0,21,0.8900255754475703,0.2661465106198526,0.16847826086956522,0.5403653506187389,0.5091145833333334,0.44921875,0.0,0.0,0.041666666666666664
1982,14000US36081115700,2012,58638.0,9,0.3076923076923077,1468.0,18,0.6916299559471366,540700.0,21,0.5880721220527045,0.24097081768275064,0.08023159636062861,0.6163141993957704,0.569060773480663,0.3851617995264404,0.04577742699289661,0.0,0.0
1983,14000US36081115900,2012,50362.0,9,0.2628975265017668,1333.0,18,0.7234285714285714,530900.0,21,0.599250936329588,0.13375181071945919,0.13780918727915195,0.542473454091193,0.36277173913043476,0.5985054347826086,0.0,0.0,0.03872282608695652
1984,14000US36081116100,2012,53750.0,9,0.20915448188175462,1385.0,18,0.7071563088512242,234000.0,17,0.4250559284116331,0.11561674839683138,0.23394787031150668,0.4425480769230769,0.27041742286751363,0.6811857229280097,0.015124016938898971,0.03327283726557774,0.0
