,GEOID,perc_black,perc_hispanic,perc_asian,m_age,perc_male,perc_female
1869,14000US36081073900,0.045060018467220686,0.1348107109879963,0.1348107109879963,43.4,0.4389658356417359,0.561034164358264
1870,14000US36081074100,0.003324468085106383,0.1077127659574468,0.1077127659574468,45.2,0.4900265957446808,0.5099734042553191
1871,14000US36081074300,0.0031466331025802393,0.17054751415984895,0.17054751415984895,41.4,0.45710090203482273,0.5428990979651772
1872,14000US36081074500,0.06457422176485722,0.1505016722408027,0.1505016722408027,39.3,0.483148958065346,0.5168510419346539
1873,14000US36081074700,0.10241152521139994,0.11055433761352959,0.11055433761352959,43.7,0.5133103664265581,0.4866896335734419
1874,14000US36081074900,0.0,0.05958230958230958,0.05958230958230958,44.2,0.5337837837837838,0.46621621621621623
1875,14000US36081075701,0.006076048608388867,0.12093296746373972,0.12093296746373972,39.8,0.42787142297138375,0.5721285770286162
1876,14000US36081075702,0.06533575317604355,0.10911978221415608,0.10911978221415608,45.8,0.4544010889292196,0.5455989110707804
1877,14000US36081076901,0.019319938176197836,0.10973724884080371,0.10973724884080371,40.1,0.4067490984028851,0.5932509015971149
1878,14000US36081076902,0.017264276228419653,0.09694555112881806,0.09694555112881806,37.0,0.5252324037184595,0.4747675962815405
1879,14000US36081077300,0.09743346007604563,0.11977186311787072,0.11977186311787072,38.3,0.45627376425855515,0.5437262357414449
1880,14000US36081077500,0.014105793450881612,0.15012594458438286,0.15012594458438286,44.7,0.4619647355163728,0.5380352644836272
1881,14000US36081077902,0.03829216925138809,0.043270151254068544,0.043270151254068544,33.7,0.5004786521156424,0.49952134788435765
1882,14000US36081077903,0.042258282623394185,0.1663286004056795,0.1663286004056795,39.5,0.4759972954699121,0.5240027045300879
1883,14000US36081077904,0.03612739660909523,0.12105846933924894,0.12105846933924894,33.6,0.49897005228965297,0.501029947710347
1884,14000US36081077905,0.06101010101010101,0.10505050505050505,0.10505050505050505,42.4,0.4727272727272727,0.5272727272727272
1885,14000US36081077906,0.04789089755788138,0.16619092927370757,0.16619092927370757,35.8,0.436092610212496,0.563907389787504
1886,14000US36081077907,0.05620832010161956,0.14639568116862495,0.14639568116862495,28.1,0.45442997777072086,0.5455700222292791
1887,14000US36081077908,0.20653499146549623,0.16361862960253595,0.16361862960253595,31.0,0.5284077054376981,0.4715922945623019
1888,14000US36081078800,0.7006802721088435,0.05442176870748299,0.05442176870748299,38.0,0.49103277674706247,0.5089672232529375
1889,14000US36081079000,0.5926239932174651,0.10173802458668928,0.10173802458668928,35.3,0.47138618058499365,0.5286138194150064
