,GEOID,perc_black,perc_hispanic,perc_asian,m_age,perc_male,perc_female,year
151,14000US36005022901,0.2102227525855211,0.645186953062848,0.645186953062848,30.0,0.5240652346857597,0.4759347653142403,2012
152,14000US36005022902,0.2672571777642028,0.6970067196090409,0.6970067196090409,26.0,0.46273671350030543,0.5372632864996946,2012
153,14000US36005023000,0.07588585763562246,0.7199749137660709,0.7199749137660709,33.8,0.4929444967074318,0.5070555032925682,2012
154,14000US36005023100,0.3713706954760297,0.6083727211343687,0.6083727211343687,36.3,0.5806887238352465,0.41931127616475355,2012
155,14000US36005023200,0.07072617246596066,0.6130862329803328,0.6130862329803328,33.1,0.45877458396369136,0.5412254160363086,2012
156,14000US36005023301,0.3626421697287839,0.6207349081364829,0.6207349081364829,34.4,0.5126859142607174,0.4873140857392826,2012
157,14000US36005023302,0.13507340946166393,0.8456769983686786,0.8456769983686786,31.0,0.4303425774877651,0.569657422512235,2012
158,14000US36005023501,0.16171428571428573,0.8165714285714286,0.8165714285714286,34.2,0.4848571428571429,0.5151428571428571,2012
159,14000US36005023502,0.16398579486108208,0.7601838312095258,0.7601838312095258,33.4,0.5038646333820764,0.49613536661792357,2012
160,14000US36005023600,0.08230256898192198,0.6741198858230257,0.6741198858230257,30.0,0.5318744053282588,0.4681255946717412,2012
161,14000US36005023702,0.12290969899665552,0.774247491638796,0.774247491638796,30.4,0.5334448160535117,0.4665551839464883,2012
162,14000US36005023703,0.22546296296296298,0.7416666666666667,0.7416666666666667,27.7,0.475,0.525,2012
163,14000US36005023704,0.25668016194331983,0.7284750337381917,0.7284750337381917,28.6,0.4240215924426451,0.575978407557355,2012
164,14000US36005023800,0.11265237494745692,0.6687683900798654,0.6687683900798654,28.8,0.4426229508196721,0.5573770491803278,2012
165,14000US36005023900,0.22260518183979083,0.7360351794628001,0.7360351794628001,25.2,0.45079629189446163,0.5492037081055384,2012
166,14000US36005024000,0.18008024545669105,0.7351899929195185,0.7351899929195185,28.1,0.47203209818267644,0.5279679018173236,2012
167,14000US36005024100,0.26449501246882795,0.7026184538653366,0.7026184538653366,27.8,0.49766209476309226,0.5023379052369077,2012
168,14000US36005024300,0.23377978778918074,0.7204731257610019,0.7204731257610019,33.3,0.4793877196034093,0.5206122803965907,2012
169,14000US36005024400,0.036005939123979216,0.4910913140311804,0.4910913140311804,32.2,0.4591685226429102,0.5408314773570898,2012
170,14000US36005024501,0.27873504966551793,0.711939995945672,0.711939995945672,26.9,0.3537401175755119,0.6462598824244882,2012
171,14000US36005024502,0.2995260663507109,0.6936018957345972,0.6936018957345972,27.7,0.5720379146919431,0.42796208530805685,2012
